,predict,relation
17012,PersonX received help with their shopping bags.,oEffect
17013,PersonX is taking a shower for cleanliness.,xAttr
17014,PersonX gets tired from the hike.,xEffect
17015,PersonX finds $20 in the wallet.,oReact
17016,PersonX becomes more physically fit.,oEffect
17017,PersonX moves back home == PersonX needs to pack their belongings.,xNeed
17018,PersonX and PersonX's father catch a big fish together.,xIntent
17019,Person X takes a walk in the park.,xIntent
17020,PersonX wonders what could have been.,xAttr
17021,Person X gets help with a flat tire.,xAttr
17022,PersonX helps PersonY stand up.,xReact
17023,PersonX wins the race and waves to PersonY.,xWant
17024,PersonX keeps cool == PersonX analyzes the situation objectively.,xWant
17025,PersonX helps PersonY rebuild a broken model airplane.,xWant
17026,PersonX helps PersonY clean the new car.,xAttr
17027,X takes the offered food and thanks Y.,oEffect
17028,PersonX spills a drink == has to clean up the mess.,xEffect
17029,PersonX starts practicing mindfulness meditation.,xWant
17030,PersonX gives PersonY some advice.,xEffect
17031,PersonX's sand castle collapses.,xAttr
17032,"""PersonY offers a job to PersonX.""",xEffect
17033,PersonX receives a clean bill of health.,xReact
17034,PersonX is escorted by police officers.,xAttr
17035,PersonX waits in the waiting room.,xWant
17036,PersonX starts playing guitar.,xWant
17037,PersonX decides to start a new life.,xIntent
17038,PersonX moves legs and PersonX grabs their head in pain.,xEffect
17039,PersonX tells PersonY that PersonY was pregnant.,xEffect
17040,Person Y hopes Person X isn't too difficult.,oWant
17041,PersonX visits friends to catch up and relax.,oWant
17042,PersonX blows out the candles on the cake.,xIntent
17043,PersonX immediately jumped into the lake.,xAttr
17044,PersonX makes a profile == Someone sends a friend request.,oWant
17045,PersonX raises a hand because they have a question.,xAttr
17046,"PersonX tries a new recipe, but burns it, feeling disappointed.",xEffect
17047,PersonX plants tomato seeds because they want to grow their own vegetables.,xNeed
17048,PersonX wins the lottery.,xReact
17049,PersonX adopts a rescue pet.,xReact
17050,PersonX receives a thank you note.,oWant
17051,,oEffect
17052,PersonX takes PersonY's mother to the temple.,xEffect
17053,PersonX shows bravery and selflessness in battle.,xAttr
17054,PersonY gives PersonX some food.,oReact
17055,PersonX rushes PersonY to the vet == PersonX's pet is injured.,xNeed
17056,PersonX feels thankful and grateful.,xReact
17057,PersonY feels grateful for PersonX's assessment.,xAttr
17058,PersonX goes to the doctor.,xReact
17059,PersonY reaches out to PersonX.,xAttr
17060,PersonX receives unconditional love from the cat.,xEffect
17061,PersonX feels hydrated after drinking a glass of water.,xEffect
17062,PersonX arrives at work.,xAttr
17063,PersonX maintains PersonY relationship == PersonX feels proud of their strong bond with PersonY,xReact
17064,PersonX is a quick thinker.,xAttr
17065,PersonY thanks PersonX for the job opportunity.,oReact
17066,funds,xEffect
17067,PersonX graduates from a teaching program.,xEffect
17068,PersonY feels relieved.,xReact
17069,PersonX starts learning the language of PersonY's country.,xAttr
17070,PersonX hurts a lot leads to PersonX feeling terrible.,xReact
17071,PersonX tosses the ball back.,xWant
17072,PersonX carries this plan into effect and starts collaborating with others.,xNeed
17073,PersonX catches a deer.,xEffect
17074,PersonX enjoys a conversation with PersonY.,xIntent
17075,"Person X talks to Person Y, providing comfort and reassurance.",xEffect
17076,PersonX realizes they need to apologize.,xEffect
17077,PersonX wins the tennis match.,xReact
17078,PersonX influences every decision made by the team.,xAttr
17079,PersonX is careful with their words.,xReact
17080,PersonX gets a comb.,xNeed
17081,PersonX bakes a cake.,xIntent
17082,PersonX gives PersonY a big hug.,oReact
17083,PersonX reads books on emotional intelligence.,xNeed
17084,PersonX enjoys a delicious meal.,oReact
17085,Mike reveals the truth.,xReact
17086,PersonX sees a long line at the store.,xWant
17087,PersonX kisses PersonY's forehead.,xWant
17088,PersonX wants to hear music.,xWant
17089,PersonX threatens every challenge.,xReact
17090,PersonX brings a gift for PersonY's boyfriend's parents.,xWant
17091,PersonY feels hurt and rejected.,xAttr
17092,PersonX makes a pit stop to get gas.,xIntent
17093,PersonX always played to have fun.,xIntent
17094,PersonX celebrates with friends.,xReact
17095,PersonX gets stronger.,xEffect
17096,PersonX grows impatient == PersonX feels frustrated.,xAttr
17097,PersonX gets thanked for inviting everyone.,xEffect
17098,PersonX buys dinner leads to PersonX being hungry.,xAttr
17099,PersonX finally sat down to rest.,xIntent
17100,PersonX finds peace.,xReact
17101,PersonX throws a football == to play catch with a friend.,xNeed
17102,PersonX is arrested by the police.,xReact
17103,PersonX gives PersonY a big hug.,xReact
17104,PersonY's hands feel clean and refreshed.,oEffect
17105,PersonX rids PersonX's skateboard to perform cool tricks.,xIntent
17106,PersonX possesses every book by Shakespeare.,xReact
17107,PersonX wakes up feeling embarrassed.,xReact
17108,PersonX feels a bit scared to see if something is there.,xIntent
17109,PersonX plunges the country into war == PersonY seeks refuge in a neighboring country.,xReact
17110,PersonX sees their grade.,xIntent
17111,PersonX spends an hour writing a heartfelt thank you email.,oWant
17112,Children ask person X to play with them in order to enjoy their new toys.,oWant
17113,PersonX achieves their goal.,xReact
17114,PersonX takes a well-deserved vacation.,xAttr
17115,PersonX sees PersonY crying.,oReact
17116,PersonY feels unsatisfied.,xReact
17117,PersonX trips over a rock.,xAttr
17118,PersonX retaliates with harsh words.,xAttr
17119,PersonX is thanked for the meal.,xEffect
17120,PersonX finds the right page.,xNeed
17121,PersonX walks into a haunted house.,xReact
17122,PersonX covers their nose.,xNeed
17123,PersonX brushes their teeth.,xNeed
17124,PersonX gives PersonY a bouquet of flowers.,xWant
17125,PersonX returns the money == feels relieved.,xEffect
17126,PersonX goes to the beach.,xReact
17127,PersonX arrives at the party.,oEffect
17128,PersonX learns something new.,xIntent
17129,PersonX confronts PersonY about the situation and demands an explanation.,xAttr
17130,Person X receives a promotion at work.,xEffect
17131,PersonX practices playing the guitar until they become skilled.,xNeed
17132,PersonX uses drugs to sleep.,xWant
17133,PersonY expresses gratitude to PersonX.,oWant
17134,PersonX says it another way.,oEffect
17135,PersonY asks PersonX for local restaurant recommendations.,oReact
17136,PersonX writes an email.,xEffect
17137,PersonY expresses gratitude towards PersonX.,oReact
17138,PersonX thanks their friend for helping them move.,xIntent
17139,PersonX gives PersonY a job == to help,xIntent
17140,PersonX invites their neighbors over for coffee.,xAttr
17141,PersonY opens the door with a smile.,xReact
17142,PersonX sees a science experiment.,xIntent
17143,PersonX enters the room == starts a conversation with the people in the room.,xWant
17144,PersonY's grandma passed away.,xReact
17145,inner demons.,xEffect
17146,PersonX narrowly avoids hitting a deer.,xIntent
17147,PersonX tosses their jacket aside.,xReact
17148,PersonX decides to adopt a puppy for their birthday.,xNeed
17149,PersonY's father agrees to let PersonX go on a date with PersonY's daughter.,xIntent
17150,PersonX sees PersonY's best friend.,xNeed
17151,money for a charity auction.,xEffect
17152,PersonX loses the next election.,xEffect
17153,PersonX styles PersonY's hair.,oEffect
17154,PersonX starts cooking a delicious meal.,xAttr
17155,PersonX builds sandcastles with PersonY's younger siblings.,xIntent
17156,PersonX trains hard to pass the physical fitness test.,xWant
17157,PersonX practices every night to allocate time for it.,xNeed
17158,PersonX puts on PersonY's glasses,xEffect
17159,PersonX keeps dancing for a long time.,xAttr
17160,PersonY rolls their eyes.,xWant
17161,luck in a new city.,xNeed
17162,PersonY's mom scolds PersonX.,oEffect
17163,PersonX reaches the mountaintop.,oReact
17164,PersonX asks PersonY for a date == PersonY accepts the invitation.,xIntent
17165,PersonX laughs during the movie.,oWant
17166,they were meeting a death,xIntent
17167,PersonX goes on a thrilling boat ride.,xAttr
17168,PersonY avoids PersonX forever.,oWant
17169,PersonY blushes.,xEffect
17170,PersonX wins the lottery.,xAttr
17171,PersonX calls all their friends to share the news.,xAttr
17172,PersonX's reign is labeled oppressive.,xEffect
17173,PersonX catches the last train just in time.,xNeed
17174,PersonX provides access to a new employee.,xWant
17175,PersonX gets surgery == PersonX wants to rest.,xWant
17176,PersonX gives their best friend a huge hug.,xReact
17177,PersonY smiles and thanks PersonX.,xReact
17178,PersonX and PersonY go on a hiking trip together.,oWant
17179,PersonX's friend starts avoiding them.,oEffect
17180,Dan heaves a sigh of relief.,xReact
17181,PersonX spends a fun day at the beach with PersonX's friends.,xAttr
17182,PersonX updates their social media profiles with their achievements.,xAttr
17183,PersonX asks friends for help.,xReact
17184,PersonX's girlfriend is shocked when he proposes to her.,oWant
17185,PersonX grants the freedom to choose how one spends their weekend.,xEffect
17186,PersonX enters the building.,xIntent
17187,PersonY apologizes to PersonX.,xWant
17188,PersonX gets caught skipping school.,xAttr
17189,"PersonX wears PersonY every day == xWant == ""to continue using PersonY's clothes""",xWant
17190,PersonX gives instructions to PersonY.,xAttr
17191,PersonX opens a book.,xAttr
17192,PersonX gives the new video game a whirl.,xAttr
17193,miscommunication.,oWant
17194,PersonX decides to take a cab.,xEffect
17195,PersonX tells PersonY stories to entertain them.,xIntent
17196,PersonX eats apples to be healthier.,xWant
17197,PersonX has a new pet == Ask for permission.,xNeed
17198,freedom,xReact
17199,PersonX knocks on PersonY's door.,xNeed
17200,PersonX tries to return PersonY's purse.,xEffect
17201,PersonX finds true love.,xReact
17202,PersonX interviews PersonY.,xNeed
17203,PersonX is frustrated.,xReact
17204,PersonX offers a comforting hug to PersonY.,xIntent
17205,PersonX takes a nap.,xReact
17206,PersonY offers PersonX a cup of tea.,xIntent
17207,PersonY feels sad and avoids PersonX.,oEffect
17208,PersonY buys tickets for PersonX.,oWant
17209,PersonX works nights to support their family.,xIntent
17210,PersonX makes a successful deal.,xWant
17211,PersonX surprises their friend by jumping out from behind a tree.,xAttr
17212,PersonY is always busy with work.,xWant
17213,PersonX carries the heavy boxes to the top floor.,xNeed
17214,They take a rest.,xEffect
17215,PersonY helps PersonX.,xIntent
17216,children are eager to learn.,xAttr
17217,PersonX is holding a four-leaf clover.,xIntent
17218,PersonX keeps PersonX's finances above water.,xEffect
17219,PersonY feels grateful for PersonX's help.,xNeed
17220,PersonY apologizes to PersonX.,oEffect
17221,PersonY is surprised.,xReact
17222,PersonY starts a new business venture.,xNeed
17223,PersonX really hurt == ignores phone calls and isolates themselves.,xEffect
17224,PersonY feels excited and grateful.,xReact
17225,PersonX is pretending to be PersonY.,xIntent
17226,PersonX chooses a stylish frame.,xNeed
17227,PersonX eventually started training hard for his dancing dreams once again.,xReact
17228,PersonY thanks PersonX with a big smile.,xEffect
17229,PersonX sends an email.,xAttr
17230,PersonX has trouble paying bills.,xAttr
17231,"PersonX collects PersonY's thoughts, then gives her advice.",xWant
17232,PersonX tries a new food.,xAttr
17233,PersonX takes PersonY to the house == PersonY wonders about the reason for the sudden visit.,oEffect
17234,PersonX expresses feelings of uncertainty.,xReact
17235,PersonX takes the keys to the car.,xNeed
17236,PersonX goes hiking in the mountains.,xWant
17237,PersonX never washed their clothes.,xWant
17238,PersonX anxiously waits for the book to be released.,xReact
17239,PersonX sees that PersonY is wearing the same shoes as them.,oReact
17240,Person Y turns their neck to watch.,oEffect
17241,PersonX turns on the air conditioning.,xReact
17242,PersonY falls asleep.,oReact
17243,PersonX and PersonY have a meaningful conversation about the article and highlight its positive aspects.,xWant
17244,PersonX interferes with PersonY's plans.,xReact
17245,PersonX loses the game.,xReact
17246,PersonX prepares a delicious meal for PersonY's family.,xNeed
17247,PersonX drives home from school.,xReact
17248,PersonX sees a fan up close.,oEffect
17249,PersonY asks PersonX about their generosity.,oWant
17250,PersonX feels grateful for PersonY's solution.,xAttr
17251,PersonX takes part in the work == Feels accomplished.,xEffect
17252,PersonX eats the cookies.,xAttr
17253,PersonX smiles at PersonY.,xAttr
17254,PersonX finds a treasure.,xNeed
17255,PersonX starts exercising regularly.,xReact
17256,PersonX reads a book.,xIntent
17257,PersonX enters the building on the side == finds a hidden treasure.,xEffect
17258,PersonX does not allow PersonY to make decisions.,xAttr
17259,PersonY is grateful for the surprise trip.,xIntent
17260,PersonX uses PersonY's powers to control the network.,xWant
17261,PersonX arrives at work.,xWant
17262,PersonX finds a new hobby in life.,xNeed
17263,PersonX wins the lottery.,xNeed
17264,PersonY wakes up and listens to PersonX.,oWant
17265,Person Y gets an A on their math test.,oReact
17266,PersonX has pleasant dreams.,xAttr
17267,,oEffect
17268,PersonX tells someone == the person looks shocked and asks for more details.,xWant
17269,PersonX practices basketball every day.,xEffect
17270,PersonX consults information sources.,xNeed
17271,PersonY retaliates with a punch.,xReact
17272,PersonX is a reliable car owner.,xAttr
17273,PersonX finishes all tasks ahead of schedule.,xIntent
17274,PersonX bakes a chocolate cake == to celebrate a special occasion.,xIntent
17275,PersonX takes a sip of water.,xWant
17276,laws and regulations.,xAttr
17277,"PersonX suddenly appears out of nowhere behind a car, trying to hide.",xNeed
17278,PersonX drapes a shawl across her chest.,xNeed
17279,PersonX submits the conclusion to arbitration.,xIntent
17280,to acknowledge their efforts.,oWant
17281,PersonX arrives at the airport.,xNeed
17282,PersonX begins to stand up for themselves more confidently.,xReact
17283,PersonY declines the offer to help.,xEffect
17284,PersonX discovers a secret about PersonY.,oWant
17285,PersonX drives their friend to the hospital.,xReact
17286,PersonX takes money out of their pocket and hands it to PersonY.,xNeed
17287,Person X starts taking flying lessons.,xAttr
17288,PersonX and PersonY go into a private room together.,xWant
17289,PersonX finds a compass and map.,xNeed
17290,PersonX apologizes to PersonY.,xReact
17291,PersonX holds PersonX's beliefs together.,xAttr
17292,"PersonX says, ""I can handle it.""",xAttr
17293,PersonX meets PersonY online.,xIntent
17294,PersonX is promoted to a leadership position.,xIntent
17295,PersonX gives PersonX's friends gifts.,xReact
17296,PersonX goes to the hospital.,xEffect
17297,PersonX thanks PersonY and picks up the device.,xEffect
17298,PersonX is forgiven by their friends.,xWant
17299,PersonX performs a monologue to the audience.,xReact
17300,PersonY keeps in contact.,xWant
17301,PersonX collected the money from everybody.,xEffect
17302,PersonX takes a cooking class.,xWant
17303,PersonX fills a glass with water.,xAttr
17304,PersonX carries a bouquet of flowers to PersonX's car.,xReact
17305,PersonX finds their lost phone.,xNeed
17306,PersonX teaches PersonY algebra to see how much Person Y learned.,xWant
17307,PersonX smiles.,xEffect
17308,PersonX produces another successful project.,xAttr
17309,PersonX feels really self-conscious.,xAttr
17310,PersonX feels refreshed after swimming.,xIntent
17311,PersonX bakes PersonY a cake. == PersonX puts frosting on the cake.,xNeed
17312,PersonY apologizes to PersonX.,oReact
17313,PersonX hears their own voice.,xEffect
17314,PersonX opens the door.,xAttr
17315,PersonX keeps PersonY word well.,oReact
17316,PersonX eats a delicious turkey sandwich.,xReact
17317,PersonX goes ziplining.,xIntent
17318,PersonX runs after PersonY's kite excitedly.,xReact
17319,PersonX avoids attending social events.,xWant
17320,PersonX receives a scholarship offer.,xReact
17321,PersonY gets hired.,oEffect
17322,PersonX gives PersonY a new hairstyle.,xAttr
17323,PersonX tells PersonY a joke.,xWant
17324,PersonY's feelings,xIntent
17325,PersonX wakes up early to prepare breakfast for the children.,xNeed
17326,PersonX's daughter learns a valuable lesson.,xWant
17327,PersonX invests in a new property.,xWant
17328,PersonX visits Canada to explore the Canadian Rockies.,xNeed
17329,PersonX sees an insect.,xEffect
17330,PersonX's parents are happy and proud.,oReact
17331,PersonX develops a new technology.,xAttr
17332,PersonX tears the letter apart.,xAttr
17333,The restaurant receives positive reviews.,xReact
17334,PersonX regulates PersonY's study time.,xWant
17335,PersonX frightens the bear away == relieved that no one got hurt.,xReact
17336,PersonX helps an elderly person cross the street.,xIntent
17337,PersonY wakes up.,xEffect
17338,PersonX cooks a delicious meal perfectly.,xAttr
17339,PersonY ignores PersonX.,xAttr
17340,PersonX runs back to the house to close the door.,xWant
17341,PersonX buys a shirt == PersonX wants to update their wardrobe.,xAttr
17342,PersonX takes the cat home.,xWant
17343,PersonX forgets to bring their presentation materials.,xReact
17344,"PersonX forms another project to develop the idea to its fullest, to share it with others.",xWant
17345,PersonX quickly took a deep breath.,xReact
17346,PersonX loses their expensive cell phone.,xAttr
17347,happy persony made that decision,xReact
17348,PersonX writes a heartfelt letter to PersonY.,xAttr
17349,PersonX gets a new job in the new town.,xNeed
17350,PersonX gets drunk == PersonX wakes up with a hangover.,xEffect
17351,PersonX gives a powerful speech.,xReact
17352,PersonX scrambles eggs for breakfast.,xReact
17353,PersonX keeps PersonY's eyes open == PersonY's eyes get dry.,xReact
17354,PersonX tries a new exotic dish.,xAttr
17355,PersonX is arrested for murder.,oReact
17356,PersonY feels upset.,xWant
17357,PersonX diligently completes the task assigned to them.,xAttr
17358,PersonX is incredibly stern and creates chaos.,xAttr
17359,PersonX goes to the mall.,xNeed
17360,a suspicious person lurking near the park.,oWant
17361,PersonX receives a confirmation email.,xReact
17362,PersonX finds their lost keys.,xAttr
17363,PersonX is asking for directions.,xReact
17364,PersonX gets diagnosed with strep throat.,xEffect
17365,PersonX takes a course == PersonX gains new skills and knowledge.,xAttr
17366,PersonX receives a pay rise.,xNeed
17367,"PersonY waves at PersonX, then looks away.",oEffect
17368,PersonX joins a basketball team for the first time.,xEffect
17369,PersonX wears their new shoes and takes a long walk to show them off.,xAttr
17370,PersonX realizes they forgot to turn off the oven.,xReact
17371,PersonX starts saving money for a down payment.,xEffect
17372,PersonX goes to help PersonY.,xAttr
17373,PersonX learns about nature and wildlife.,xReact
17374,PersonX is left feeling confused.,xReact
17375,PersonY gives PersonX a dirty look.,oReact
17376,PersonX asks his family members if they saw it.,xWant
17377,PersonX goes furniture shopping.,xNeed
17378,PersonX wins a game.,oReact
17379,PersonX pays back the money borrowed.,xIntent
17380,PersonY starts reading books about PersonX.,xIntent
17381,PersonX comes home to have a rest.,xWant
17382,PersonX prepares a strong argument for PersonY.,oEffect
17383,PersonX's husband agrees to go on a date.,oWant
17384,PersonX apologizes to PersonY and promises to pay back the money.,xWant
17385,PersonX gets yelled at.,xEffect
17386,PersonX steals a wallet.,xWant
17387,PersonX adopts a cat.,xIntent
17388,PersonX changes his cats' litter.,xWant
17389,PersonX falls and breaks their arm.,xAttr
17390,PersonX now has a working phone.,xReact
17391,PersonX fixes the leaky faucet.,xEffect
17392,PersonX reacts sassy and snippy.,xAttr
17393,"PersonX plays classical music
xEffect: Feeling relaxed and calm.",xNeed
17394,"PersonX gets PersonX's keys in the door == unlock the door, enter the house",xWant
17395,PersonX wants a tidy environment.,xIntent
17396,PersonX impresses the students.,xAttr
17397,PersonX eats and feels thirsty.,xReact
17398,PersonX arrives late to work.,xNeed
17399,PersonX overcomes all obstacles to achieve their goal.,xAttr
17400,PersonX stays in life with no problems and gains a good reputation in society.,xEffect
17401,PersonX avoids danger by taking a safer route.,xEffect
17402,PersonX eats dinner with PersonY.,xIntent
17403,PersonX is a good friend.,xReact
17404,PersonX decides what to eat.,xNeed
17405,PersonX crashes into a tree.,xEffect
17406,PersonX is eager to learn more.,xReact
17407,PersonX is thanked.,xEffect
17408,PersonX is at the store with PersonY's mom == to buy a gift.,oWant
17409,PersonX cooks a stir-fry.,xIntent
17410,PersonX is handed the key to the hotel room.,xNeed
17411,PersonX investigates the blood.,xWant
17412,PersonX sees everyone around them socializing and laughing together.,xReact
17413,PersonX feels guilty.,xReact
17414,PersonX stumbles and falls.,xAttr
17415,"PersonX gives PersonY answers == ""PersonY understands the situation better.""",xWant
17416,PersonX puts a cake inside the oven.,xReact
17417,PersonY gives thanks.,oEffect
17418,PersonX sees a spider.,oReact
17419,PersonX tells their friends about the funny movie.,xWant
17420,PersonX guides PersonY through the project.,xWant
17421,PersonX receives an award for their work.,xReact
17422,PersonX prepares for the presentation.,xAttr
17423,PersonX soon realized they needed to make a change.,xWant
17424,PersonX starts a charity organization.,xWant
17425,PersonX makes a convincing argument.,xIntent
17426,PersonY is grateful.,xReact
17427,PersonX receives the king's order.,xAttr
17428,PersonX starts researching different options online.,xReact
17429,PersonX invites PersonY to hang out.,xAttr
17430,PersonX receives a promotion at work .,xEffect
17431,PersonX makes rude comments about PersonY's wife.,oReact
17432,PersonY agrees to dinner.,xAttr
17433,PersonX finds a nice spot to sit and enjoy the view.,xReact
17434,PersonX smiles after finishing their work.,xEffect
17435,PersonY guards PersonX's house.,xIntent
17436,a surprise birthday party.,oReact
17437,PersonX apologizes to PersonY.,xNeed
17438,To take a break.,xWant
17439,PersonX listens for any movement.,xAttr
17440,PersonX relaxes on a park bench.,xReact
17441,PersonX runs a long distance and feels exhausted.,xEffect
17442,PersonX knocks on PersonY's door.,xReact
17443,PersonX washes up the dishes.,xNeed
17444,PersonX steps on PersonY's foot.,oEffect
17445,PersonY formulates a new plan.,xWant
17446,PersonX feels happy after watching the movie.,xAttr
17447,PersonY's car is in good condition.,xIntent
17448,PersonX buys a new car.,xWant
17449,PersonY smiles and waves back.,oReact
17450,PersonX is congratulated by PersonY.,oEffect
17451,PersonX pushes PersonY aside.,oWant
17452,PersonY tries to follow the dance move and ends up laughing.,xWant
17453,"PersonX sends a fierce, foolish message on the earth.",xAttr
17454,PersonX sprays paint to add some color to the room.,xWant
17455,PersonY creates a beautiful painting.,xIntent
17456,PersonX plays really well.,xAttr
17457,PersonX plays soccer with a friend == enjoys the game.,xEffect
17458,PersonX wants to protest.,xNeed
17459,PersonX sets up a meeting with PersonY.,xNeed
17460,PersonY accepts the job.,xIntent
17461,PersonX gets more appreciation.,xEffect
17462,PersonX turns the sink faucet off.,xAttr
17463,PersonX agrees to help PersonY with their project.,oEffect
17464,PersonX runs smoothly == PersonX finishes the race.,xEffect
17465,PersonX takes a break and drinks water.,oEffect
17466,PersonX successfully finds a theater showing the movie.,xReact
17467,PersonX avoids going outside.,xEffect
17468,to a race against PersonY,xNeed
17469,PersonX leaves flowers.,xWant
17470,PersonX receives a scholarship offer.,xEffect
17471,the last piece of cake.,xIntent
17472,PersonX gets no response == PersonX cries.,xEffect
17473,PersonX plants a garden.,xIntent
17474,PersonX returns the book == to borrow another book from the library,xWant
17475,PersonX eats a tub of ice cream.,xWant
17476,PersonX sees a lost child.,xReact
17477,PersonX receives a message from PersonY.,oReact
17478,PersonY is thrilled to visit Disney World.,xIntent
17479,PersonX plays video games with PersonY's friend.,xReact
17480,PersonX picks up poop.,xEffect
17481,,oWant
17482,PersonX calls a cab.,xNeed
17483,PersonX feels alone == seeks comfort from a friend.,xEffect
17484,PersonY smiles gratefully.,xAttr
17485,PersonX gives PersonY a shoulder massage.,xReact
17486,PersonX tries PersonX's hand at writing.,xWant
17487,To walk away from PersonY.,xWant
17488,PersonX asks for payment.,xWant
17489,PersonX surprises PersonY with a gift.,xReact
17490,PersonX passes the road test.,xAttr
17491,PersonX receives change from the cashier.,xEffect
17492,PersonX checks all the details.,xNeed
17493,PersonY decides to not be friends with PersonX anymore.,oWant
17494,"PersonX grows PersonX's hair out == to care for it, to apply oil daily",xNeed
17495,"PersonX buys groceries from the store == carry bags., feels satisfied.",xEffect
17496,PersonX starts making new friends.,xAttr
17497,PersonX tells a joke.,oReact
17498,PersonX enjoys a night of great music and entertainment.,xAttr
17499,PersonX's kitchen is now spotless.,xAttr
17500,PersonX goes to the mall and buys something.,xEffect
17501,PersonY expresses gratitude towards PersonX.,xNeed
17502,PersonX places their wallet on the table.,xWant
17503,PersonX successfully plays matchmaker between PersonA and PersonB.,xReact
17504,PersonX learns another language.,xReact
17505,PersonY uses the pencils.,oWant
17506,PersonX contemplates their thoughts.,xEffect
17507,"PersonX turns the tide == different, victorious",xReact
17508,PersonX takes a nap.,xAttr
17509,PersonY gently pets PersonX's head.,xReact
17510,Person X spreads a rumor.,xEffect
17511,PersonX turns the volume up.,xEffect
17512,PersonX throws detergent in the wash.,xIntent
17513,PersonX invests in the stock market.,xEffect
17514,PersonX feels impatient and tensed.,xReact
17515,PersonX owns a new car.,oEffect
17516,PersonY congratulates PersonX.,xReact
17517,PersonX buys a new toy.,xReact
17518,Guests arrive at PersonX's house.,oEffect
17519,PersonX is really hungry == PersonX eats dessert.,xWant
17520,PersonX is tired.,xEffect
17521,PersonX has always wanted to go to the beach.,xWant
17522,effective policies to improve the community.,xAttr
17523,PersonX pushes PersonY away.,xAttr
17524,PersonX finally escapes the maze.,xReact
17525,PersonX sacrifices every luxury to adapt to the new lifestyle.,xWant
17526,PersonX takes a shower.,xIntent
17527,PersonX learns so much == satisfied.,xReact
17528,PersonX catches the ball.,xAttr
17529,PersonX starts a smoothly moving wagon.,xNeed
17530,PersonX hears a loud noise.,xReact
17531,PersonX plants trees.,xWant
17532, PersonX creates life.,xEffect
17533,PersonX eats a delicious plate of spaghetti.,xReact
17534,PersonX feels threatened and scared.,xReact
17535,PersonX notices that PersonY's car is missing.,xAttr
17536,PersonX throws a graduation party.,xReact
17537,PersonX finds the cat == relieved,xAttr
17538,PersonX decides to make a sandwich.,xNeed
17539,PersonX gives PersonX's daughter a new book.,xWant
17540,PersonX leaves the party.,xNeed
17541,PersonX sees a bear in the wild.,oReact
17542,PersonY patiently waits.,oReact
17543,PersonX does not care about the outcome.,xIntent
17544,Person Y's boyfriend introduces himself to Person X.,oEffect
17545,PersonY learns math.,oWant
17546,PersonX starts building a model car.,xReact
17547,PersonX sits by the fireplace to warm up.,xEffect
17548,PersonX checks for any injuries.,xWant
17549,PersonY agrees to join PersonX in playing the game.,oWant
17550,PersonX falls off PersonY's bike.,xEffect
17551,PersonX sits quietly because they are reading a book.,xNeed
17552,PersonX starts making a detailed plan.,xReact
17553,PersonX sees a ghost.,xReact
17554,PersonX picks up a stone.,xEffect
17555,keys,oWant
17556,PersonX wakes up.,xNeed
17557,PersonX achieves PersonX's potential == smiles,xEffect
17558,PersonY asks for more details.,oEffect
17559,PersonY now has a smooth face.,xWant
17560,research analysis.,xAttr
17561,PersonX helps PersonY in a battle against their common enemy.,xWant
17562,PersonX reads aloud to PersonY.,xIntent
17563,PersonX hears a loud crash.,xWant
17564,PersonX is ready to explore and enjoy their surroundings.,xReact
17565,PersonX is experiencing concerning symptoms.,xAttr
17566,PersonX is thanked.,xEffect
17567,PersonX collapses from exhaustion.,xEffect
17568,PersonX sees a UFO on the side of the road.,xAttr
17569,PersonX decides to give a presentation at a later time.,oWant
17570,PersonX needs to study for exams.,oEffect
17571,PersonX submits a low-quality assignment.,xAttr
17572,PersonX reaches the classroom late.,xReact
17573,PersonX apologizes profusely and helps clean up.,xReact
17574,PersonX gets approved for unemployment benefits.,xIntent
17575,Serve breakfast for PersonY's family.,xEffect
17576,PersonX sets up a vegetable garden.,xReact
17577,PersonX calls PersonY back to have a conversation.,xIntent
17578,PersonX starts training for the Olympics.,xEffect
17579,PersonX completes their workday.,xReact
17580,PersonX asks for PersonY's mother.,xNeed
17581,PersonX is skipping meals.,xReact
17582,The ground becomes wet.,xIntent
17583,PersonX is fixing a flat tire.,xIntent
17584,PersonY's girlfriend gets upset.,xNeed
17585,PersonX teaches the cat a trick.,oWant
17586,"PersonX smiles at PersonY, thanking PersonY.",xEffect
17587,PersonX's room is filled with sunlight.,xAttr
17588,PersonX enjoys the food == orders another dish.,xNeed
17589,PersonX drives the car away.,xAttr
17590,PersonY feels relieved.,xEffect
17591,PersonX arrives to school == has a chat with friends.,xNeed
17592,PersonX helps PersonY carry the bags.,xReact
17593,PersonX gets out of the car to check that he didn't hit an animal.,xWant
17594,PersonX sees a movie they loved.,xWant
17595,PersonX practices playing guitar every day.,xEffect
17596,PersonX forgets to set an alarm.,xReact
17597,PersonX takes a nap.,xReact
17598,Confronts PersonY's friend.,oEffect
17599,PersonX studies for long hours.,xIntent
17600,PersonX drops the mic altogether.,xAttr
17601,PersonX falls asleep under the sun.,xReact
17602,PersonX opens the door.,xNeed
17603,PersonX sees that PersonY is reading a book.,xIntent
17604,PersonX opens one eye == PersonX wakes up from a nap.,xIntent
17605,PersonX starts from the ground.,xNeed
17606,PersonX keeps an eye on PersonY's behavior.,oWant
17607,PersonX hides PersonY's stolen jewelry under a bushel.,xAttr
17608,PersonX decides to confide in their best friend.,oReact
17609,PersonX sends someone == She tells her thanks.,xWant
